,Коммерческое наименование,Рыночные ниши,Технологии,Бизнес-модель,Сайт,type
0,Иркут,Transport & Logistics,,B2B; B2G,www.irkut.com,2
1,"Издательство ""Просвещение""",EdTech; Мedia & Communication,AR/VR,B2C; B2B; B2G,https://prosv.ru/,2
2,Р-фарм,Healthcare,Биотехнологии,B2C; B2B; B2G,https://rpharm.ru/,2
3,Яндекс,Advertising & Marketing; Business Software; E-commerce; Transport & Logistics,BigData; Искусственный интеллект и машинное обучение; Компьютерное зрение,B2C; B2B,https://yandex.ru/company/,2
4,ВТБ,FinTech,,B2C; B2B,https://www.vtb.ru/,2
5,"Банк ""Открытие""",FinTech,,B2C; B2B,https://www.open.ru/,2
6,МТС,Telecom,BigData; Интернет вещей; Искусственный интеллект и машинное обучение,B2C; B2B; B2G,https://moskva.mts.ru/,2
7,КРОК,Business Software,AR/VR; BigData; Блокчейн; Интернет вещей; Искусственный интеллект и машинное обучение,B2B,https://www.croc.ru/,2
8,Tele2,Telecom,BigData; Интернет вещей,B2C; B2B,https://msk.tele2.ru/,2
9,Лаборатория Касперского,Cybersecurity,BigData; Блокчейн; Искусственный интеллект и машинное обучение,B2C; B2B; B2G,https://www.kaspersky.ru/,2
10,QIWI,FinTech,,B2C; B2B,https://corp.qiwi.com/,2
11,IBS,Business Software; Cybersecurity,BigData,B2B; B2G,https://www.ibs.ru/,2
12,ЛАНИТ,Business Software,BigData; Интернет вещей; Искусственный интеллект и машинное обучение,B2B; B2G,https://www.lanit.ru/,2
13,Mail.ru Group,Business Software; E-commerce; Gaming; Мedia & Communication,BigData; Интернет вещей; Искусственный интеллект и машинное обучение,B2C; B2B,https://corp.mail.ru/ru/,2
14,Сбер,FinTech,BigData; Биометрия; Блокчейн; Искусственный интеллект и машинное обучение,B2C; B2B; B2G,http://www.sberbank.com; https://www.sberbank.ru/,2
15,РОСТЕЛЕКОМ,Telecom,BigData; Биометрия; Интернет вещей,B2C; B2B; B2G,https://www.company.rt.ru/,2
